"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"635","Travis Konecny","PHI","C, R","66","1109.05","24","37","19","18","61","80.26","141","17.02","14.36","240","195","141","64","6","11","28","13","13","0","0","24","47","29","63","100","30","24","25","48.98"
"705","Matthew Tkachuk","CGY","L","69","1263.25","23","38","22","16","61","67.03","188","12.23","21.33","323","262","201","105","8","34","74","23","17","4","2","34","86","40","122","83","22","0","4","0.00"
"844","Andrei Svechnikov","CAR","R","68","1138.1833333333","24","37","17","20","61","66.30","183","13.11","21.36","320","253","195","83","16","30","54","27","27","0","0","20","66","29","116","108","27","0","1","0.00"
"97","Jonathan Toews","CHI","C","70","1384.3833333333","18","42","24","18","60","61.22","172","10.47","18.85","285","226","192","93","15","16","48","23","23","0","0","15","40","58","56","104","35","856","638","57.30"
"120","David Perron","STL","L","71","1300.4833333333","25","35","18","17","60","66.67","166","15.06","15.28","324","238","164","35","5","13","52","26","26","0","0","16","35","39","67","65","19","3","5","37.50"
"192","John Tavares","TOR","C","63","1231.6166666667","26","34","24","10","60","62.50","197","13.20","22.03","357","287","240","100","13","28","24","12","12","0","0","16","47","35","32","89","31","617","499","55.29"
"639","Mathew Barzal","NYI","C","68","1362.9166666667","19","41","30","11","60","77.92","171","11.11","16.29","295","224","190","84","8","17","44","21","21","0","0","27","103","70","22","90","43","228","320","41.61"
"184","Mike Hoffman","FLA","C, L","69","1161.8","29","30","14","16","59","69.41","214","13.55","16.55","414","287","161","35","8","25","28","14","14","0","0","13","52","31","33","51","22","7","8","46.67"
"348","Ryan Strome","NYR","C","70","1371.0333333333","18","41","27","14","59","57.84","154","11.69","19.08","241","205","152","83","6","19","48","23","23","0","0","7","54","27","45","56","32","496","548","47.51"
"351","Sean Couturier","PHI","C","69","1368.3833333333","22","37","15","22","59","63.44","185","11.89","21.31","306","250","182","86","7","21","30","15","15","0","0","17","36","40","60","103","26","542","367","59.63"
"546","William Nylander","TOR","C, R","68","1238.1833333333","31","28","18","10","59","70.24","197","15.74","20.9","295","251","205","108","4","18","12","6","6","0","0","12","41","42","9","66","14","106","106","50.00"
"196","Brayden Schenn","STL","C","71","1308.7","25","33","21","12","58","65.91","138","18.12","14.57","224","173","160","59","3","10","44","19","17","2","0","12","39","26","119","72","21","350","364","49.02"
"310","Johnny Gaudreau","CGY","L","70","1315.3","18","40","24","16","58","72.50","209","8.61","18.3","349","272","192","60","10","22","12","6","6","0","0","10","71","40","1","25","11","1","3","25.00"
"547","Nikolaj Ehlers","WPG","L","71","1173.1666666667","25","33","21","12","58","90.63","203","12.32","15.77","345","263","175","51","10","18","30","12","10","2","0","30","39","32","36","84","28","0","2","0.00"
"262","Jaden Schwartz","STL","C, L","71","1289.35","22","35","21","14","57","69.51","162","13.58","20.58","286","232","196","90","12","15","18","9","9","0","0","22","29","50","60","115","28","9","11","45.00"
"31","Patrice Bergeron","BOS","C","61","1143.0666666667","31","25","11","14","56","51.85","203","15.27","22.52","326","268","204","70","5","18","28","13","13","0","0","8","22","44","46","51","46","759","552","57.89"
"129","Jakub Voracek","PHI","R","69","1176.0333333333","12","44","28","16","56","70.89","132","9.09","10.63","251","182","113","44","1","24","31","14","13","1","0","18","30","28","17","61","21","7","13","35.00"
"279","Bryan Rust","PIT","R","55","1087.0833333333","27","29","15","14","56","62.22","151","17.88","18.41","244","201","164","82","13","19","30","11","10","0","1","12","37","29","71","87","35","2","8","20.00"
"193","Victor Hedman","T.B","D","66","1587.9166666667","11","44","27","17","55","48.25","155","7.10","9.97","306","222","93","17","5","21","31","14","13","1","0","9","40","47","73","73","98","0","0","-"
"94","Nicklas Backstrom","WSH","C","61","1159.15","12","42","17","25","54","60.00","132","9.09","12.63","220","173","113","56","5","13","14","7","7","0","0","10","42","34","30","43","45","516","532","49.24"
"207","Reilly Smith","VGK","R","71","1271.6666666667","27","27","15","12","54","70.13","169","15.98","20.95","266","228","186","87","9","19","20","10","10","0","0","9","41","58","55","90","30","3","9","25.00"
"255","Brock Nelson","NYI","C","68","1282.4666666667","26","28","15","13","54","68.35","175","14.86","19.48","272","212","203","107","10","16","32","15","15","0","0","14","52","26","49","89","44","615","573","51.77"
"506","Elias Lindholm","CGY","C","70","1380.5","29","25","14","11","54","62.79","169","17.16","16.16","271","215","164","60","10","11","22","11","11","0","0","13","33","38","93","41","41","395","406","49.31"
"549","Kevin Fiala","MIN","L","64","985.65","23","31","20","11","54","80.60","175","13.14","13.91","312","232","154","63","13","22","42","21","21","0","0","23","35","33","25","60","18","2","7","22.22"
"88","Claude Giroux","PHI","C, R","69","1309.95","21","32","18","14","53","63.86","197","10.66","15.5","322","262","158","58","8","16","28","14","14","0","0","18","35","37","45","39","16","663","460","59.04"
"510","Bo Horvat","VAN","C","69","1361.5","22","31","20","11","53","60.23","178","12.36","20.97","274","224","179","98","5","21","21","9","8","1","0","15","27","28","55","56","66","850","633","57.32"
"552","Dylan Larkin","DET","C","71","1508.6833333333","19","34","17","17","53","60.92","223","8.52","19.54","385","290","227","83","7","20","39","17","16","1","0","26","81","43","52","60","45","714","648","52.42"
"556","Tony DeAngelo","NYR","D","68","1311.5333333333","15","38","18","20","53","55.79","149","10.07","8.84","266","198","82","19","2","18","47","18","16","1","1","10","65","16","48","71","57","0","0","-"
"837","Quinn Hughes","VAN","D","68","1488.15","8","45","23","22","53","54.08","126","6.35","6.48","312","185","80","10","2","24","22","11","11","0","0","15","60","35","7","67","46","0","0","-"
"142","Alex Pietrangelo","STL","D","70","1691.4833333333","16","36","18","18","52","44.83","225","7.11","13.79","418","302","119","24","9","19","20","10","10","0","0","10","45","43","47","112","89","0","0","-"
"248","Evgeny Kuznetsov","WSH","C","63","1124.0333333333","19","33","20","13","52","65.00","129","14.73","12.57","187","165","120","64","7","8","40","20","20","0","0","18","45","22","35","28","16","348","455","43.34"
"268","Taylor Hall","ARI, N.J","L","65","1246.3","16","36","28","8","52","73.24","232","6.90","19.74","387","310","198","78","12","27","34","17","17","0","0","23","52","41","47","110","29","20","31","39.22"
"551","Jakub Vrana","WSH","L","69","1026.8833333333","25","27","19","8","52","76.47","187","13.37","17.48","313","261","173","62","15","19","18","9","9","0","0","11","42","31","29","40","16","6","5","54.55"
"271","Tyler Seguin","DAL","C","69","1321.2666666667","17","33","20","13","50","70.42","245","6.94","21.51","395","305","214","79","8","35","22","11","11","0","0","13","52","34","90","31","31","538","387","58.16"
"540","Sam Reinhart","BUF","C","69","1423.3666666667","22","28","17","11","50","56.82","144","15.28","16.47","271","227","163","76","7","12","20","6","5","0","1","11","33","21","36","81","27","40","72","35.71"
"806","Cale Makar","COL","D","57","1197.6","12","38","22","16","50","54.95","121","9.92","8.38","272","186","92","23","5","14","12","6","6","0","0","8","40","34","45","47","47","0","0","-"
"59","T.J. Oshie","WSH","R","69","1260.3666666667","26","23","15","8","49","51.04","134","19.40","22.3","249","206","192","106","4","22","26","12","12","0","0","25","45","42","90","80","58","119","119","50.00"
"100","Alex Killorn","T.B","C, L","68","1218.9166666667","26","23","12","11","49","61.25","130","20.00","14.94","209","174","134","61","3","14","20","10","10","0","0","11","26","27","59","74","15","5","14","26.32"
"369","Torey Krug","BOS","D","61","1249.7333333333","9","40","22","18","49","54.44","144","6.25","7.19","273","187","71","15","2","9","33","15","14","1","0","15","48","22","36","70","48","0","0","-"
"624","Timo Meier","S.J","R","70","1209.8","22","27","15","12","49","80.33","199","11.06","21.24","341","271","221","102","13","30","42","17","16","0","1","19","31","39","155","106","38","12","25","32.43"
"746","Pierre-Luc Dubois","CBJ","C, L","70","1255.2333333333","18","31","18","13","49","71.01","158","11.39","16.28","273","219","156","62","10","23","49","23","22","1","0","28","46","27","85","125","50","359","446","44.60"
"20","Ryan Suter","MIN","D","69","1700.15","8","40","18","22","48","47.06","111","7.21","5.87","253","158","65","7","2","20","12","6","6","0","0","5","27","19","48","28","93","0","0","-"
"396","Filip Forsberg","NSH","L","63","1093.0833333333","21","27","20","7","48","69.57","198","10.61","18.22","366","272","186","67","11","20","29","13","12","1","0","10","45","58","82","69","27","1","2","33.33"
"499","Tyler Bertuzzi","DET","L","71","1371.3166666667","21","27","18","9","48","62.34","129","16.28","17.92","222","184","149","91","3","14","40","11","9","0","2","20","57","25","71","80","30","4","2","66.67"
"507","Sean Monahan","CGY","C","70","1267.1166666667","22","26","13","13","48","59.26","166","13.25","20.81","276","224","207","94","7","20","25","11","10","1","0","12","36","43","65","30","22","549","495","52.59"
"19","Eric Staal","MIN","C","66","1130.8833333333","19","28","20","8","47","61.84","113","16.81","14.03","232","169","126","61","2","13","28","10","9","0","1","11","46","25","24","43","22","495","504","49.55"
"54","Sidney Crosby","PIT","C","41","830.91666666667","16","31","20","11","47","83.93","109","14.68","12.32","163","143","98","52","5","13","15","6","5","1","0","11","25","26","28","35","17","494","394","55.63"
"125","Evgenii Dadonov","FLA","R","69","1180.2666666667","25","22","13","9","47","52.81","167","14.97","20.22","275","214","187","93","10","23","10","5","5","0","0","11","40","29","29","103","24","0","0","-"
"195","Evander Kane","S.J","L","64","1250.4666666667","26","21","14","7","47","63.51","216","12.04","26.27","347","281","202","114","15","26","122","38","30","4","4","18","51","45","135","110","25","106","95","52.74"
"362","Phillip Danault","MTL","C, L","71","1337.9333333333","13","34","16","18","47","61.04","131","9.92","13.99","209","171","135","74","3","11","32","16","16","0","0","15","50","34","119","92","37","728","608","54.49"
"366","Jonathan Marchessault","VGK","C","66","1140.55","22","25","19","6","47","68.12","235","9.36","21.46","388","287","216","74","12","30","28","14","14","0","0","17","48","37","99","92","12","58","78","42.65"
"25","Zach Parise","MIN","L","69","1186.5833333333","25","21","11","10","46","59.74","155","16.13","22.29","238","206","174","115","7","24","8","4","4","0","0","15","22","21","27","60","38","41","36","53.25"
"341","William Karlsson","VGK","C","63","1188.45","15","31","19","12","46","66.67","138","10.87","16.86","251","193","169","76","9","13","16","4","3","0","1","7","37","54","40","94","38","491","455","51.90"
"456","Dominik Kubalik","CHI","L","68","977.46666666667","30","16","10","6","46","71.88","157","19.11","17.47","270","212","163","64","9","13","16","8","8","0","0","8","25","23","79","50","17","6","13","31.58"
"470","Pavel Buchnevich","NYR","L, R","68","1151.2166666667","16","30","16","14","46","56.79","148","10.81","15.08","254","203","172","88","9","20","24","12","12","0","0","17","64","38","80","99","22","4","19","17.39"
"482","Shea Theodore","VGK","D","71","1579.1333333333","13","33","12","21","46","50.00","219","5.94","10.98","460","315","127","22","6","37","25","11","10","1","0","7","54","55","20","102","69","0","0","-"
"27","Brent Burns","S.J","D","70","1777.3333333333","12","33","17","16","45","50.56","225","5.33","11.98","517","324","125","26","4","43","34","17","17","0","0","8","76","49","72","39","115","0","0","-"
"67","Keith Yandle","FLA","D","69","1359.0666666667","5","40","20","20","45","48.39","129","3.88","5.2","272","182","50","7","7","8","20","10","10","0","0","5","66","25","18","12","51","0","1","0.00"
"126","Mikael Backlund","CGY","C","70","1256.1833333333","16","29","18","11","45","65.22","157","10.19","17.49","285","223","173","83","12","26","26","13","13","0","0","5","55","64","44","54","11","368","410","47.30"
"187","Kyle Palmieri","N.J","C, R","65","1112.1833333333","25","20","9","11","45","63.38","155","16.13","18.69","285","236","170","76","4","14","41","15","13","1","1","12","28","29","74","72","36","12","25","32.43"
"204","Chris Kreider","NYR","C, L","63","1086.7333333333","24","21","14","7","45","51.14","156","15.38","19.47","258","217","181","106","8","14","58","18","14","2","2","17","61","22","116","45","42","53","70","43.09"
"383","Tanner Pearson","VAN","L","69","1139.3333333333","21","24","11","13","45","72.58","164","12.80","17.73","255","212","153","67","13","14","27","12","11","1","0","10","33","37","96","82","40","3","14","17.65"
"481","Andre Burakovsky","COL","L","58","881.63333333333","20","25","14","11","45","76.27","103","19.42","8.92","184","135","103","31","7","7","22","11","11","0","0","12","33","27","26","83","34","5","9","35.71"
"557","Nick Schmaltz","ARI","C","70","1087.45","11","34","20","14","45","72.58","95","11.58","9.34","188","131","97","39","2","12","20","10","10","0","0","12","27","52","12","57","35","160","216","42.55"
"638","Brock Boeser","VAN","R","57","1058.6","16","29","14","15","45","55.56","169","9.47","16.34","282","218","159","62","7","15","14","6","6","0","0","8","22","20","28","41","14","11","19","36.67"
"717","Alex DeBrincat","CHI","L, R","70","1224.5666666667","18","27","19","8","45","65.22","207","8.70","19.55","363","270","215","66","11","18","15","6","5","1","0","16","37","41","58","81","19","7","13","35.00"
"813","Neal Pionk","WPG","D","71","1659.7","6","39","19","20","45","46.39","177","3.39","7.73","340","245","60","13","4","24","32","16","16","0","0","12","62","31","165","110","78","0","0","-"
"65","Kris Letang","PIT","D","61","1569.25","15","29","14","15","44","44.90","177","8.47","10.4","340","235","84","10","6","28","38","19","19","0","0","10","80","31","101","123","91","0","0","-"
"243","Tyler Toffoli","L.A, VAN","C, R","68","1145.7","24","20","11","9","44","67.69","203","11.82","20.45","351","268","196","86","11","39","20","10","10","0","0","10","34","35","48","65","16","4","10","28.57"
"345","Gabriel Landeskog","COL","L","54","1081.5833333333","21","23","15","8","44","57.89","145","14.48","21.11","254","213","171","90","8","20","47","22","21","1","0","15","25","39","86","93","35","274","212","56.38"
"390","Tom Wilson","WSH","R","68","1242.4666666667","21","23","12","11","44","57.89","154","13.64","19.89","255","204","162","100","4","25","93","35","29","5","1","30","40","25","253","90","58","18","39","31.58"
"441","Nikita Gusev","N.J","L","66","969.75","13","31","20","11","44","75.86","158","8.23","13.61","270","209","125","38","10","13","12","6","6","0","0","12","40","22","12","26","7","1","2","33.33"
"513","Max Domi","MTL","C","71","1213.9166666667","17","27","20","7","44","57.14","179","9.50","15.5","322","241","159","65","15","19","35","16","15","1","0","16","64","42","32","58","13","385","403","48.86"
"669","Anthony Cirelli","T.B","C","68","1255.35","16","28","19","9","44","60.27","113","14.16","14.21","207","162","141","73","8","21","30","15","15","0","0","34","24","53","89","88","47","434","480","47.48"
"719","Clayton Keller","ARI","C, R","70","1140.6666666667","17","27","19","8","44","80.00","184","9.24","16.81","296","241","176","64","10","17","28","14","14","0","0","18","32","34","20","109","13","8","13","38.10"
"838","Brady Tkachuk","OTT","L","71","1344.3333333333","21","23","18","5","44","63.77","260","8.08","31.38","432","362","295","177","20","42","106","35","28","4","3","47","40","35","303","133","43","144","168","46.15"
"48","David Krejci","BOS","C","61","1047.6","13","30","13","17","43","70.49","83","15.66","9.67","163","127","93","38","3","9","23","9","8","1","0","8","37","31","37","86","32","371","366","50.34"
"147","Josh Bailey","NYI","C, R","68","1149.1","14","29","19","10","43","79.63","94","14.89","10.07","161","122","91","47","7","3","10","5","5","0","0","8","54","38","20","48","48","128","128","50.00"
"165","Adam Henrique","ANA","C","71","1197.5666666667","26","17","11","6","43","67.19","170","15.29","20.26","281","241","198","107","12","20","20","10","10","0","0","10","32","26","75","40","32","512","418","55.05"
"228","Anders Lee","NYI","C, L","68","1244.15","20","23","13","10","43","58.90","195","10.26","24.13","303","260","240","137","6","18","47","15","11","3","1","12","44","24","102","82","50","90","109","45.23"
"286","Brendan Gallagher","MTL","R","59","997.71666666667","22","21","12","9","43","59.72","226","9.73","23.77","394","308","236","129","13","35","29","13","12","1","0","12","18","39","53","69","29","12","17","41.38"
"438","Connor Brown","OTT","R","71","1428.15","16","27","13","14","43","69.35","173","9.25","17.48","287","238","167","82","13","24","24","10","10","0","0","10","40","52","39","65","35","29","39","42.65"
"471","Jake Guentzel","PIT","C, L","39","804.5","20","23","16","7","43","69.35","127","15.75","14.3","196","158","143","75","5","18","14","7","7","0","0","12","12","21","46","86","19","22","24","47.83"
"811","Alex Iafallo","L.A","L","70","1324.9333333333","17","26","16","10","43","61.43","142","11.97","14.86","231","187","151","65","9","20","14","7","7","0","0","9","11","18","49","81","47","11","12","47.83"
"26","Ryan Getzlaf","ANA","C","69","1292.1666666667","13","29","15","14","42","66.67","144","9.03","12.8","272","212","131","47","4","11","58","26","24","2","0","21","76","53","125","47","69","530","504","51.26"
"168","Gustav Nyquist","CBJ","C","70","1262.2666666667","15","27","18","9","42","61.76","151","9.93","17.38","229","186","132","62","15","16","16","8","8","0","0","13","41","27","37","57","26","17","16","51.52"
"194","Matt Duchene","NSH","C","66","1114.1166666667","13","29","16","13","42","65.63","136","9.56","16.14","228","185","164","79","7","20","24","12","12","0","0","29","36","31","40","70","22","390","305","56.12"
"327","Jean-Gabriel Pageau","NYI, OTT","C","67","1283.5166666667","26","16","10","6","42","63.64","151","17.22","16.46","244","206","139","66","8","17","49","12","7","3","2","20","32","33","128","91","53","615","534","53.52"
"364","Rickard Rakell","ANA","L, R","65","1180.3333333333","15","27","15","12","42","64.62","186","8.06","21.3","316","260","183","90","6","21","12","6","6","0","0","11","42","30","81","83","29","10","3","76.92"
"601","Victor Olofsson","BUF","L, R","54","992.71666666667","20","22","10","12","42","61.76","127","15.75","11.89","228","184","118","31","4","11","6","3","3","0","0","5","26","12","10","45","16","1","1","50.00"
"710","Adam Fox","NYR","D","70","1323.3","8","34","20","14","42","48.28","125","6.40","8.36","243","173","95","19","2","18","30","15","15","0","0","10","61","57","35","92","92","0","0","-"
"796","Robert Thomas","STL","C","66","961.2","10","32","21","11","42","75.00","87","11.49","9.04","146","114","106","56","5","13","18","8","8","0","0","9","30","46","13","83","13","136","181","42.90"
"242","Jason Zucker","MIN, PIT","L","60","980.23333333333","20","21","13","8","41","68.33","111","18.02","12.02","173","153","108","50","9","10","21","9","8","1","0","15","25","31","53","58","23","12","29","29.27"
"258","Kevin Hayes","PHI","C, R","69","1223.3","23","18","9","9","41","69.49","175","13.14","17","281","235","164","84","12","18","34","17","17","0","0","10","34","43","88","61","22","415","411","50.24"
"303","Ondrej Palat","T.B","L","69","1117.1","17","24","17","7","41","56.94","128","13.28","14.47","220","171","153","63","17","12","22","11","11","0","0","14","34","41","145","82","61","7","14","33.33"
"539","Aaron Ekblad","FLA","D","67","1537.9166666667","5","36","23","13","41","44.09","147","3.40","6.91","265","187","71","20","7","16","26","13","13","0","0","9","74","37","34","56","84","0","0","-"
"626","Mikko Rantanen","COL","R","42","795.88333333333","19","22","16","6","41","67.21","107","17.76","10.49","182","141","104","39","3","10","14","7","7","0","0","12","16","34","28","85","23","44","31","58.67"
"646","Zach Werenski","CBJ","D","63","1511.0833333333","20","21","9","12","41","49.40","187","10.70","12.16","334","243","113","24","5","18","10","5","5","0","0","3","47","32","36","71","58","0","0","-"
"794","Nick Suzuki","MTL","C","71","1135.2666666667","13","28","17","11","41","70.69","138","9.42","12.94","222","180","127","57","7","15","6","3","3","0","0","10","37","31","64","85","32","305","354","46.28"
"87","Jeff Petry","MTL","D","71","1678.8666666667","11","29","15","14","40","47.62","158","6.96","8.12","377","240","92","18","7","19","26","13","13","0","0","14","88","30","177","118","79","0","0","-"
"110","James van Riemsdyk","PHI","L","66","983.46666666667","19","21","14","7","40","65.57","151","12.58","18.1","236","194","172","105","3","23","8","4","4","0","0","8","16","17","25","55","18","8","15","34.78"
"149","Erik Karlsson","S.J","D","56","1373.2833333333","6","34","20","14","40","57.97","121","4.96","4.97","245","164","49","6","3","21","16","8","8","0","0","10","68","52","26","57","74","0","0","-"
"153","Jordan Eberle","NYI","C, R","58","1033.0833333333","16","24","10","14","40","68.97","136","11.76","15.29","243","190","168","88","6","18","12","6","6","0","0","12","37","34","37","80","39","3","6","33.33"
"352","Dougie Hamilton","CAR","D","47","1094.35","14","26","14","12","40","50.00","170","8.24","10.32","339","241","106","24","12","30","32","16","16","0","0","5","40","22","52","27","63","0","0","-"
"473","Anthony Duclair","OTT","L","66","1073.2166666667","23","17","12","5","40","71.43","184","12.50","19.03","314","243","181","65","14","24","18","9","9","0","0","11","46","18","53","74","39","3","3","50.00"
"845","Rasmus Dahlin","BUF","D","59","1138.4333333333","4","36","19","17","40","58.82","90","4.44","4.95","220","131","60","10","2","9","38","19","19","0","0","12","43","16","72","63","51","0","0","-"
"102","Jamie Benn","DAL","L","69","1134.15","19","20","12","8","39","62.90","164","11.59","19.25","280","230","183","91","10","19","53","18","14","3","1","19","56","52","167","73","57","244","193","55.84"
"113","Logan Couture","S.J","C","52","963.43333333333","16","23","15","8","39","68.42","126","12.70","12.76","219","162","116","47","3","23","18","5","4","0","1","14","26","28","54","55","45","195","248","44.02"
"133","Lars Eller","WSH","C","69","1174.0333333333","16","23","15","8","39","67.24","151","10.60","18.44","271","223","167","73","13","19","48","24","24","0","0","20","41","44","59","118","44","536","497","51.89"
"191","Jakob Silfverberg","ANA","R","66","1166.7833333333","21","18","13","5","39","60.94","155","13.55","16.38","270","218","161","68","11","11","14","7","7","0","0","15","32","40","28","89","41","8","33","19.51"
"209","Tyson Barrie","TOR","D","70","1531.4166666667","5","34","16","18","39","42.39","169","2.96","7.15","373","234","103","11","5","19","16","8","8","0","0","5","62","16","47","118","76","0","0","-"
