"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"541","Leon Draisaitl","EDM","C","71","1605.4","43","67","39","28","110","80.88","218","19.72","28.64","402","302","264","96","18","27","18","9","9","0","0","20","91","60","27","96","19","661","608","52.09"
"618","Connor McDavid","EDM","C","64","1399.4","34","63","38","25","97","78.86","212","16.04","21.93","339","265","230","98","16","21","28","14","14","0","0","24","75","53","37","57","18","320","350","47.76"
"561","David Pastrnak","BOS","R","70","1327.25","48","47","31","16","95","78.51","279","17.20","24.91","507","379","261","95","9","30","40","20","20","0","0","26","88","49","47","113","22","7","11","38.89"
"671","Artemi Panarin","NYR","C, L","69","1421.6666666667","32","63","35","28","95","74.22","209","15.31","17.58","403","297","204","45","9","25","20","10","10","0","0","16","82","56","25","50","18","1","1","50.00"
"502","Nathan MacKinnon","COL","C","69","1464.35","35","58","37","21","93","78.15","318","11.01","24.2","552","407","278","69","12","36","12","5","5","0","0","23","53","38","51","81","31","362","478","43.10"
"78","Brad Marchand","BOS","C, L","70","1361.65","28","59","36","23","87","70.16","185","15.14","20.74","301","240","190","76","8","16","82","33","30","2","1","44","71","43","55","95","19","22","29","43.14"
"343","Nikita Kucherov","T.B","R","68","1282.7","33","52","27","25","85","77.98","210","15.71","19.98","386","301","205","59","11","24","38","19","19","0","0","19","59","30","37","70","19","0","1","0.00"
"123","Patrick Kane","CHI","R","70","1493.85","33","51","34","17","84","84.85","275","12.00","22.72","464","340","265","80","15","24","40","16","15","0","1","18","41","43","24","60","19","1","3","25.00"
"708","Auston Matthews","TOR","C","70","1467.8666666667","47","33","19","14","80","70.80","290","16.21","26.92","504","398","310","104","6","29","8","4","4","0","0","14","48","78","40","82","60","506","414","55.00"
"346","Jonathan Huberdeau","FLA","C, L","69","1295.2166666667","23","55","39","16","78","70.91","152","15.13","15.63","276","216","158","62","4","13","30","15","15","0","0","21","70","42","51","71","26","24","37","39.34"
"619","Jack Eichel","BUF","C","68","1509.85","36","42","19","23","78","71.56","227","15.86","19.27","396","306","191","67","14","21","34","12","11","0","1","35","66","44","40","73","42","614","697","46.83"
"155","John Carlson","WSH","D","69","1699.6833333333","15","60","38","22","75","60.98","189","7.94","11.1","369","272","95","16","4","28","26","13","13","0","0","8","80","42","55","58","108","0","1","0.00"
"349","Mika Zibanejad","NYR","C","57","1232.8333333333","41","34","21","13","75","80.65","208","19.71","21.99","350","285","199","94","7","12","14","7","7","0","0","22","43","42","51","86","49","592","612","49.17"
"39","Evgeni Malkin","PIT","C","55","1073.6666666667","25","49","27","22","74","84.09","171","14.62","18.3","294","227","168","62","12","27","58","29","29","0","0","21","69","70","38","88","22","441","435","50.34"
"350","Mark Scheifele","WPG","C","71","1548.1166666667","29","44","28","16","73","61.86","170","17.06","24.04","288","236","224","106","6","24","45","17","15","1","1","23","46","57","34","136","49","605","684","46.94"
"614","Kyle Connor","WPG","L","71","1497.2166666667","38","35","23","12","73","69.52","239","15.90","28.56","369","303","265","123","12","23","34","12","11","0","1","11","39","43","18","54","17","2","11","15.38"
"356","J.T. Miller","VAN","C","69","1387.1","27","45","25","20","72","67.92","165","16.36","18.37","290","242","185","86","5","17","47","18","16","1","1","14","36","52","123","61","38","425","293","59.19"
"38","Alex Ovechkin","WSH","L","68","1404.1166666667","48","19","13","6","67","63.81","311","15.43","30.84","602","434","281","92","16","34","30","15","15","0","0","13","48","28","184","43","30","1","0","100.00"
"656","Mitchell Marner","TOR","C, R","59","1271.6833333333","16","51","32","19","67","72.83","154","10.39","14.53","277","211","152","40","11","25","16","8","8","0","0","13","71","64","24","55","37","7","19","26.92"
"128","Max Pacioretty","VGK","L","71","1271","32","34","23","11","66","68.75","307","10.42","25.04","549","437","275","99","20","36","44","19","17","2","0","17","55","32","90","134","35","51","45","53.13"
"141","Steven Stamkos","T.B","C","57","1049.95","29","37","24","13","66","74.16","176","16.48","17.91","319","245","176","54","2","18","22","10","10","0","0","15","33","24","69","54","38","365","307","54.32"
"629","Sebastian Aho","CAR","C, R","68","1320.8166666667","38","28","16","12","66","70.97","206","18.45","30.11","333","268","233","131","16","22","26","13","13","0","0","15","58","71","55","68","20","409","480","46.01"
"792","Elias Pettersson","VAN","C","68","1260.1166666667","27","39","26","13","66","63.46","162","16.67","17.5","328","250","183","60","1","14","18","9","9","0","0","31","33","36","63","64","42","59","82","41.84"
"41","Blake Wheeler","WPG","R","71","1371.6666666667","22","43","27","16","65","70.65","180","12.22","16.87","308","253","182","57","8","25","37","17","16","1","0","20","46","37","102","59","51","325","327","49.85"
"157","Roman Josi","NSH","D","69","1778.75","16","49","28","21","65","58.04","260","6.15","13.96","525","355","171","18","6","31","41","19","18","1","0","16","68","34","52","107","108","0","0","-"
"579","Brayden Point","T.B","C","66","1247.5166666667","25","39","26","13","64","57.66","141","17.73","18.52","277","209","221","86","8","19","11","4","3","1","0","15","19","30","24","90","30","397","380","51.09"
"294","Mark Stone","VGK","R","65","1260.6833333333","21","42","28","14","63","72.41","169","12.43","18.43","276","229","192","80","10","23","27","12","11","1","0","13","38","78","56","64","51","16","30","34.78"
"392","Teuvo Teravainen","CAR","L","68","1305.1333333333","15","48","32","16","63","66.32","182","8.24","18.18","317","249","165","63","10","17","8","4","4","0","0","5","44","44","18","39","30","26","27","49.06"
"718","Patrik Laine","WPG","R","68","1319.8833333333","28","35","17","18","63","63.00","226","12.39","20.37","416","317","183","57","13","26","22","11","11","0","0","12","57","41","97","54","35","10","17","37.04"
"57","Anze Kopitar","L.A","C","70","1472.8","21","41","23","18","62","75.61","135","15.56","15.41","243","193","140","53","9","14","16","8","8","0","0","22","49","39","49","68","56","776","631","55.15"
"503","Aleksander Barkov","FLA","C","66","1320.9833333333","20","42","22","20","62","64.58","172","11.63","18.77","267","228","176","96","5","20","18","9","9","0","0","19","52","51","21","72","35","653","550","54.28"
"188","Ryan O'Reilly","STL","C","71","1460.75","12","49","27","22","61","62.89","118","10.17","13.85","183","155","122","51","5","9","10","5","5","0","0","11","22","69","16","43","42","880","676","56.56"
"208","Tomas Tatar","MTL","L","68","1108","22","39","18","21","61","72.62","162","13.58","14.58","264","210","153","64","9","18","36","18","18","0","0","7","29","31","79","62","24","9","16","36.00"
"344","Ryan Nugent-Hopkins","EDM","C","65","1330.3333333333","22","39","22","17","61","58.65","172","12.79","16.83","304","228","189","64","9","24","33","15","14","1","0","10","39","54","33","65","44","205","199","50.74"
