"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"8","Duncan Keith","CHI","D","54","1264.1166666667","4","11","7","4","15","24.59","110","3.64","4.65","199","134","45","7","2","13","30","14","14","0","0","0","63","28","33","63","91","0","0","-"
"81","Kevin Shattenkirk","ANA","D","55","1166.2666666667","2","13","6","7","15","34.88","93","2.15","4.8","187","125","48","9","3","12","28","14","14","0","0","8","27","14","57","74","58","0","0","-"
"85","Sam Gagner","DET","C","42","648.51666666667","7","8","5","3","15","55.56","88","7.95","9.39","132","112","67","30","3","10","15","6","5","1","0","5","8","7","5","41","14","83","97","46.11"
"137","Derek Grant","ANA","C","46","669.78333333333","6","9","4","5","15","62.50","66","9.09","5.98","122","97","58","31","4","3","25","11","10","1","0","7","12","9","65","34","40","289","277","51.06"
"194","Nic Dowd","WSH","C","56","806.28333333333","11","4","2","2","15","55.56","68","16.18","9.38","110","97","79","37","3","5","31","14","13","1","0","7","15","38","109","85","40","432","336","56.25"
"283","Scott Mayfield","NYI","D","56","1090.75","2","13","7","6","15","37.50","79","2.53","2.87","166","105","34","4","5","7","38","14","13","0","1","4","37","6","76","61","108","0","0","-"
"308","Connor Murphy","CHI","D","50","1107.2666666667","3","12","5","7","15","33.33","78","3.85","2.4","159","99","29","4","2","5","35","8","5","1","2","14","37","10","102","155","123","0","0","-"
"320","Luke Glendening","DET","C","54","799.43333333333","6","9","5","4","15","51.72","67","8.96","7.13","110","92","65","37","6","5","20","10","10","0","0","7","7","10","68","66","57","523","336","60.88"
"338","Teuvo Teravainen","CAR","L","21","345.26666666667","5","10","6","4","15","60.00","49","10.20","4.99","84","61","46","15","0","3","4","2","2","0","0","2","12","10","8","15","9","13","7","65.00"
"359","Colton Sissons","NSH","C","54","775.01666666667","8","7","4","3","15","57.69","58","13.79","5.25","96","79","58","38","2","4","18","9","9","0","0","5","9","15","74","23","27","319","272","53.98"
"365","Jaccob Slavin","CAR","D","52","1195.0833333333","3","12","5","7","15","22.39","101","2.97","5.03","215","149","59","13","5","22","2","1","1","0","0","3","30","24","35","86","87","0","0","-"
"386","Nate Schmidt","VAN","D","54","1085.55","5","10","8","2","15","38.46","76","6.58","3.15","159","106","42","6","1","9","4","2","2","0","0","1","68","18","15","53","72","0","0","-"
"418","Ryan Graves","COL","D","54","1029.0166666667","2","13","6","7","15","34.09","101","1.98","3.64","226","144","47","12","5","13","55","18","15","1","2","3","24","18","77","62","91","0","0","-"
"422","Jason Dickinson","DAL","C","51","825.9","7","8","4","4","15","57.69","66","10.61","5.92","126","93","75","29","2","4","18","9","9","0","0","15","17","28","78","65","49","137","159","46.28"
"433","William Carrier","VGK","L","52","541.38333333333","6","9","8","1","15","71.43","65","9.23","7.39","103","85","67","49","4","9","16","8","8","0","0","18","9","12","131","57","13","3","5","37.50"
"488","Travis Sanheim","PHI","D","55","1203.75","3","12","5","7","15","35.71","100","3.00","4.93","196","136","55","14","3","13","23","10","9","1","0","11","40","17","48","80","73","0","0","-"
