Player,Age
Blake Coleman\\colembl01,27
Blake Comeau\\comeabl01,32
J.T. Compher\\comphj.01,23
Max Comtois\\comtoma01,20
Cory Conacher\\conacco01,29
Erik Condra\\condrer01,32
Kevin Connauton\\connake01,28
Brett Connolly\\connobr01,26
Kyle Connor\\connoky01,22
Andrew Copp\\coppan01,24
Nick Cousins\\cousini01,25
Logan Couture\\coutulo01,29
Sean Couturier\\coutuse01,26
Charlie Coyle\\coylech01,26
Charlie Coyle\\coylech01,26
Charlie Coyle\\coylech01,26
Adam Cracknell\\crackad01,33
Sidney Crosby\\crosbsi01,31
Lawson Crouse\\crousla01,21
Matt Cullen\\cullema01,42
Josh Currie\\currijo01,26
Austin Czarnik\\czarnau01,26
Evgenii Dadonov\\dadonev01,29
Rasmus Dahlin\\dahlira01,18
Carl Dahlstrom\\dahlsca01,24
Michael Dal Colle\\dalcomi01,22
Trevor Daley\\daleytr01,35
Zac Dalpe\\dalpeza01,29
Phillip Danault\\danauph01,25
Marko Da\uc0\u328 o\\danoma01,24
Laurent Dauphin\\dauphla01,23
Brandon Davidson\\davidbr01,27
Calvin de Haan\\dehaaca01,27
Jacob de La Rose\\delarja01,23
Chase De Leo\\deleoch01,23
Jean-Sebastien Dea\\deaje01,24
Jean-Sebastien Dea\\deaje01,24
Jean-Sebastien Dea\\deaje01,24
Anthony DeAngelo\\deangan01,23
Alex DeBrincat\\debrial01,21
Jake Debrusk\\debruja01,22
Danny DeKeyser\\dekeyda01,28
Michael Del Zotto\\delzomi01,28
Michael Del Zotto\\delzomi01,28
Michael Del Zotto\\delzomi01,28
Michael Del Zotto\\delzomi01,28
Dylan DeMelo\\demeldy01,25
Jason Demers\\demerja01,30
Travis Dermott\\dermotr01,22
Nicolas Deslauriers\\deslani01,27
Phillip Di Giuseppe\\digiuph01,25
Phillip Di Giuseppe\\digiuph01,25
Phillip Di Giuseppe\\digiuph01,25
Jason Dickinson\\dickija01,23
Brenden Dillon\\dillobr01,28
Christian Djoos\\djoosch01,24
Max Domi\\domima01,23
Ryan Donato\\donatry01,22
Ryan Donato\\donatry01,22
Ryan Donato\\donatry01,22
Matt Donovan\\donovma01,28
Joonas Donskoi\\donskjo01,26
Jake Dotchin\\dotchja01,24
Drew Doughty\\doughdr01,29
Nic Dowd\\dowdni01,28
Justin Dowling\\dowliju01,28
Leon Draisaitl\\draisle01,23
Sheldon Dries\\driessh01,24
Jonathan Drouin\\drouijo01,23
Dillon Dube\\dubedi01,20
Brandon Dubinsky\\dubinbr01,32
Pierre-Luc Dubois\\duboipi01,20
Matt Duchene\\duchema01,28
Matt Duchene\\duchema01,28
Matt Duchene\\duchema01,28
Anthony Duclair\\duclaan01,23
Anthony Duclair\\duclaan01,23
Anthony Duclair\\duclaan01,23
Mathew Dumba\\dumbama01,24
