Player,Age
Marcus Pettersson\\pettema01,22
Marcus Pettersson\\pettema01,22
Dion Phaneuf\\phanedi01,33
Blake Pietila\\pietibl01,25
Alex Pietrangelo\\pietral01,29
Lawrence Pilut\\pilutla01,23
Neal Pionk\\pionkne01,23
Brandon Pirri\\pirribr01,27
Rem Pitlick\\pitlire01,21
Tyler Pitlick\\pitlity01,27
Tomas Plekanec\\plekato01,36
Ryan Poehling\\poehlry01,20
Brayden Point\\pointbr01,22
Roman Polak\\polakro01,32
Jason Pominville\\pominja01,36
Derrick Pouliot\\poulide01,25
Nate Prosser\\prossna01,32
Dalton Prout\\proutda01,28
Ivan Provorov\\provoiv01,22
Matt Puempel\\puempma01,26
Jesse Puljujarvi\\puljuje01,20
Ryan Pulock\\pulocry01,24
Tom Pyatt\\pyattto01,31
Mark Pysyk\\pysykma01,27
John Quenneville\\quennjo02,22
Alan Quine\\quineal01,25
Lukas Radil\\radillu01,28
Alexander Radulov\\radulal01,32
Brogan Rafferty\\raffebr01,23
Michael Raffl\\rafflmi01,30
Rickard Rakell\\rakelri01,25
Mikko Rantanen\\rantami01,22
Victor Rask\\raskvi01,25
Victor Rask\\raskvi01,25
Victor Rask\\raskvi01,25
Michael Rasmussen\\rasmumi01,19
Ty Rattie\\rattity01,25
Kyle Rau\\rauky01,26
Matt Read\\readma01,32
Ryan Reaves\\reavery01,32
Mike Reilly\\reillmi01,25
Sam Reinhart\\reinhsa01,23
Sheldon Rempal\\rempash01,23
Anthony Richard\\richaan01,22
Brad Richardson\\richabr02,33
Tobias Rieder\\riedeto01,26
Morgan Rielly\\riellmo01,24
Juuso Riikola\\riikoju01,25
Zac Rinaldo\\rinalza01,28
Rasmus Ristolainen\\ristora01,24
Brett Ritchie\\ritchbr01,25
Nick Ritchie\\ritchni01,23
Eric Robinson\\robiner01,23
Jack Rodewald\\rodewja01,24
Evan Rodrigues\\rodriev01,25
Kevin Rooney\\rooneke01,25
Calle Rosen\\rosenca01,24
Jack Roslovic\\rosloja01,22
Antoine Roussel\\roussan01,29
Carter Rowney\\rowneca01,29
Kevin Roy\\royke01,25
Matt Roy\\royma04,23
Nicolas Roy\\royni01,21
Chad Ruhwedel\\ruhwech01,28
Kris Russell\\russekr01,31
Patrick Russell\\russepa01,26
Bryan Rust\\rustbr01,26
Jan Rutta\\ruttaja02,28
Jan Rutta\\ruttaja02,28
Jan Rutta\\ruttaja02,28
Bobby Ryan\\ryanbo01,31
Derek Ryan\\ryande01,32
Joakim Ryan\\ryanjo02,25
Kerby Rychel\\rycheke01,24
Brandon Saad\\saadbr01,26
Miikka Salomaki\\salommi01,25
Zach Sanford\\sanfoza01,24
Travis Sanheim\\sanhetr01,22
Steven Santini\\santist01,23
Ashton Sautner\\sautnas01,24
David Savard\\savarda01,28
Luca Sbisa\\sbisalu01,29
Marco Scandella\\scandma01,28
Colton Sceviour\\scevico01,29
Tim Schaller\\schalti01,28
Mark Scheifele\\scheima01,25
Brayden Schenn\\schenbr01,27
Luke Schenn\\schenlu01,29
Luke Schenn\\schenlu01,29
Luke Schenn\\schenlu01,29
Nikita Scherbak\\scherni01,23
Cameron Schilling\\schilca01,30
David Schlemko\\schleda01,31
Jordan Schmaltz\\schmajo01,25
Nick Schmaltz\\schmani01,22
Nick Schmaltz\\schmani01,22
Nick Schmaltz\\schmani01,22
Nate Schmidt\\schmina01,27
Jimmy Schuldt\\schulja01,23
Justin Schultz\\schulju01,28
Jaden Schwartz\\schwaja01,26
Brent Seabrook\\seabrbr01,33
Lukas Sedlak\\sedlalu01,25
Nick Seeler\\seeleni01,25
Tyler Seguin\\seguity01,27
Andrej Sekera\\sekeran01,32
Brett Seney\\seneybr01,22
Zachary Senyshyn\\senysza01,21
Mikhail Sergachev\\sergami01,20
Damon Severson\\severda01,24
Kevin Shattenkirk\\shattke01,30
Andrew Shaw\\shawan01,27
Riley Sheahan\\sheahri01,27
Riley Sheahan\\sheahri01,27
Riley Sheahan\\sheahri01,27
Conor Sheary\\shearco01,26
Kiefer Sherwood\\sherwki01,23
Kole Sherwood\\sherwko01,22
Devin Shore\\shorede01,24
Devin Shore\\shorede01,24
Devin Shore\\shorede01,24
Jonas Siegenthaler\\siegejo01,21
Dylan Sikura\\sikurdy01,23
Jakob Silfverberg\\silfvja01,28
Radim Simek\\simekra01,26
Wayne Simmonds\\simmowa01,30
Wayne Simmonds\\simmowa01,30
Wayne Simmonds\\simmowa01,30
Dominik Simon\\simondo01,24
Colton Sissons\\sissoco01,25
Jeff Skinner\\skinnje01,26
Brady Skjei\\skjeibr01,24
Jaccob Slavin\\slavija01,24
Brendan Smith\\smithbr05,29
C.J. Smith\\smithcj01,24
Craig Smith\\smithcr01,29
Gemel Smith\\smithge02,24
Gemel Smith\\smithge02,24
Gemel Smith\\smithge02,24
Reilly Smith\\smithre01,27
Zack Smith\\smithza01,30
Devante Smith-Pelly\\smithde06,26
Vladimir Sobotka\\sobotvl01,31
Carl Soderberg\\soderca01,33
Marcus Sorensen\\sorenma01,26
Nikita Soshnikov\\soshnni01,25
Jason Spezza\\spezzja01,35
Ryan Spooner\\spoonry01,27
Ryan Spooner\\spoonry01,27
Ryan Spooner\\spoonry01,27
Ryan Spooner\\spoonry01,27
Daniel Sprong\\spronda01,21
Daniel Sprong\\spronda01,21
Daniel Sprong\\spronda01,21
Jared Spurgeon\\spurgja01,29
Eric Staal\\staaler01,34
Jordan Staal\\staaljo01,30
Marc Staal\\staalma01,32
Drew Stafford\\staffdr01,33
Steven Stamkos\\stamkst01,28
Paul Stastny\\stastpa01,33
Troy Stecher\\stechtr01,24
Sam Steel\\steelsa01,20
Alex Steen\\steenal01,34
Lee Stempniak\\stemple01,35
Kevin Stenlund\\stenlke01,22
Derek Stepan\\stepade01,28
Chandler Stephenson\\stephch02,24
Riley Stillman\\stillri01,20
Mark Stone\\stonema01,26
Mark Stone\\stonema01,26
Mark Stone\\stonema01,26
Michael Stone\\stonemi01,28
Anton Stralman\\stralan01,32
Ben Street\\streebe01,31
Dylan Strome\\stromdy01,21
Dylan Strome\\stromdy01,21
Dylan Strome\\stromdy01,21
Ryan Strome\\stromry01,25
Ryan Strome\\stromry01,25
Ryan Strome\\stromry01,25
Nico Sturm\\sturmni01,23
P.K. Subban\\subbapk01,29
Libor Sulak\\sulakli01,24
Oskar Sundqvist\\sundqos01,24
Antti Suomela\\suomean01,24
Andrej Sustr\\sustran01,28
Ryan Suter\\suterry01,34
Brandon Sutter\\suttebr03,29
Andrei Svechnikov\\svechan01,18
Brandon Tanev\\tanevbr01,27
Chris Tanev\\tanevch01,29
Eric Tangradi\\tangrer01,29
Vladimir Tarasenko\\tarasvl01,27
Tomas Tatar\\tatarto01,28
John Tavares\\tavarjo01,28
Matt Tennyson\\tennyma01,28
Teuvo Teravainen\\teravte01,24
Troy Terry\\terrytr01,21
Josh Teves\\tevesjo01,23
Alexandre Texier\\texieal01,19
Shea Theodore\\theodsh01,23
Robert Thomas\\thomaro01,19
Nate Thompson\\thompna01,34
Nate Thompson\\thompna01,34
Nate Thompson\\thompna01,34
Tage Thompson\\thompta01,21
Chris Thorburn\\thorbch01,35
Joe Thornton\\thornjo01,39
Chris Tierney\\tiernch01,24
Brady Tkachuk\\tkachbr01,19
Matthew Tkachuk\\tkachma01,21
Devon Toews\\toewsde01,24
Jonathan Toews\\toewsjo01,30
Tyler Toffoli\\toffoty01,26
Eeli Tolvanen\\tolvaee01,19
Dominic Toninato\\tonindo01,24
Vincent Trocheck\\trochvi01,25
Zach Trotman\\trotmza01,28
Jacob Trouba\\troubja01,24
Alex Tuch\\tuchal01,22
Dominic Turgeon\\turgedo01,22
Kyle Turris\\turriky01,29
Urho Vaakanainen\\vaakaur01,20
Juuso Valimaki\\valimju01,20
James van Riemsdyk\\vanrija01,29
Trevor van Riemsdyk\\vanritr01,27
Thomas Vanek\\vanekth01,35
Phil Varone\\varonph01,28
Sami Vatanen\\vatansa01,27
Frank Vatrano\\vatrafr01,24
Max Veronneau\\veronma01,23
Kristian Vesalainen\\vesalkr01,19
Jimmy Vesey\\veseyji02,25
Jake Virtanen\\virtaja01,22
Marc-Edouard Vlasic\\vlasima01,31
Jakub Voracek\\voracja01,29
Mikhail Vorobyev\\vorobmi01,22
Jakub Vrana\\vranaja01,22
Austin Wagner\\wagneau01,21
Chris Wagner\\wagnech01,27
Nathan Walker\\walkena01,24
Sean Walker\\walkese01,24
Lucas Wallmark\\wallmlu01,23
Austin Watson\\watsoau01,27
Jordan Weal\\wealjo01,26
Jordan Weal\\wealjo01,26
Jordan Weal\\wealjo01,26
Jordan Weal\\wealjo01,26
Shea Weber\\webersh01,33
Yannick Weber\\weberya01,30
MacKenzie Weegar\\weegama01,25
Dale Weise\\weiseda01,30
Dale Weise\\weiseda01,30
Dale Weise\\weiseda01,30
Andy Welinski\\welinan01,25
Alexander Wennberg\\wennbal01,24
Zach Werenski\\werenza01,21
Blake Wheeler\\wheelbl01,32
Colin White\\whiteco02,22
Colton White\\whiteco03,21
Chris Wideman\\widemch01,29
Chris Wideman\\widemch01,29
Chris Wideman\\widemch01,29
Chris Wideman\\widemch01,29
Justin Williams\\williju01,37
Colin Wilson\\wilsoco01,29
Garrett Wilson\\wilsoga01,27
Scott Wilson\\wilsosc01,26
Tom Wilson\\wilsoto01,24
Luke Witkowski\\witkolu01,28
Christian Wolanin\\wolanch01,23
Miles Wood\\woodmi01,23
Egor Yakovlev\\yakoveg01,27
Kailer Yamamoto\\yamamka01,20
Keith Yandle\\yandlke01,32
Pavel Zacha\\zachapa01,21
Filip Zadina\\zadinfi01,19
Nikita Zadorov\\zadorni01,23
Nikita Zaitsev\\zaitsni01,27
Travis Zajac\\zajactr01,33
Jakub Zboril\\zborija01,21
Mika Zibanejad\\zibanmi01,25
Mats Zuccarello\\zuccama01,31
Mats Zuccarello\\zuccama01,31
Mats Zuccarello\\zuccama01,31
Jason Zucker\\zuckeja01,27
Valentin Zykov\\zykovva01,23
Valentin Zykov\\zykovva01,23
Valentin Zykov\\zykovva01,23
Valentin Zykov\\zykovva01,23
